feature_id	feature_start	feature_stop	susC	susD	susEF	starch_active_domain	localization	coverage_ratio	opf_id	ko_list	architecture	product_description	cazy_domain_list
B1A_00038	5528	5983					CY	0.496077313352209	Opf00284	K03564	AhpC-TSA	Putative peroxiredoxin bcp	
B1A_00039	6616	6702					CY	0.611075459821068				tRNA-Ser(cga)	
B1A_00040	52	777					CY	1.57146743797577	Opf01683		Cys_rich_VLP:Cys_rich_VLP:Cys_rich_VLP	hypothetical protein	
B1A_00041	1812	1222					CY	2.6504912601145			DUF4668:DUF4668	hypothetical protein	
B1A_00042	1695	202					CY	1.04465771088407	Opf01410	K00854	FGGY_N:FGGY_C	Xylulose kinase	
B1A_00043	2642	1737					CY	1.04239887307478	Opf00072	K00973	NTP_transferase	Glucose-1-phosphate thymidylyltransferase	
B1A_00044	4153	2804					CY	1.04507116756481	Opf04774	K02169	DUF452:Methyltransf_23	hypothetical protein	
B1A_00045	5297	4158					CY	1.04568816853327	Opf00214	K00652	Aminotran_1_2	8-amino-7-oxononanoate synthase 2	
B1A_00046	6576	5278					CY	1.03222431135943	Opf00601	K00833	Aminotran_3	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	
B1A_00047	9185	6720					CY	1.03420052721648	Opf00552	K04066	TrmB:DAP3:TrmB:ResIII:A2L_zn_ribbon:A2L_zn_ribbon:A2L_zn_ribbon:Helicase_C	primosomal protein N'	
B1A_00048	9217	9888					CY	0.964115366573951	Opf00678		OMP_b-brl	hypothetical protein	
B1A_00049	9956	10537					CY	1.00589343331444	Opf00684		OMP_b-brl_2:OMP_b-brl_2	hypothetical protein	
B1A_00050	10572	10931					CY	1.07464879351754	Opf00632	K02612	FeS_assembly_P	hypothetical protein	
B1A_00051	10928	11674					CY	0.98369024556105	Opf00123	K03269	Metallophos	UDP-2,3-diacylglucosamine hydrolase	
B1A_00052	11980	12726					CY	1.00189383326589	Opf00178	K19285	Nitroreductase	FMN reductase [NAD(P)H]	
B1A_00053	13079	12855					CY	1.02554794081981	Opf06013		TBPIP	hypothetical protein	
B1A_00054	14495	13188					PP	1.0237858791657	Opf01130	K12340	OEP:OEP	Outer membrane efflux protein BepC	
B1A_00055	15600	14500					CY	1.05928884169197	Opf01174	K02005	HlyD_D23:YfdX:Peptidase_M23	Multidrug resistance protein MdtA	
B1A_00056	16968	15655					CY	1.04250394268673	Opf01177	K02004	MacB_PCD:FtsX:FtsX	Macrolide export ATP-binding/permease protein MacB	
B1A_00057	18169	16946					CY	1.04874248290064	Opf01158	K02004	MacB_PCD:FtsX:MacB_PCD:FtsX	Macrolide export ATP-binding/permease protein MacB	
B1A_00058	18676	18173					CY	0.9988788101087	Opf00001	K02003	ABC_tran:DUF5511	putative ABC transporter ATP-binding protein YknY	
B1A_00059	19102	18707					PP	0.00130821029397903	Opf11644		DUF3789:Lustrin_cystein	hypothetical protein	
B1A_00060	279	379					CY	1.55522285639705				5S ribosomal RNA	
B1A_00061	683	1876					PP	0.891722353776294	Opf09333		Leg1	hypothetical protein	
B1A_00062	2222	3277					CY	1.17718040434965	Opf00448	K01424	Asparaginase	L-asparaginase 1	
B1A_00063	3318	4133					CY	1.09579590023162	Opf02836		DUF3822	hypothetical protein	
B1A_00064	4162	4698					CY	1.21731408503087	Opf00106	K08316	Cons_hypoth95	Ribosomal RNA small subunit methyltransferase D	
B1A_00065	4707	5918					CY	1.06765309986192	Opf00832	K14652	DHBP_synthase:GTP_cyclohydro2	Riboflavin biosynthesis protein RibBA	
B1A_00066	5993	8761					PP	1.07083778754313	Opf03188	K01303	Abhydrolase_1:Abhydrolase_1:Peptidase_S9	hypothetical protein	CE7,CE10
B1A_00067	8803	9672					PP	1.02430720679807	Opf12641		DUF1460	hypothetical protein	
B1A_00068	9669	10565					CY	0.991542633853895	Opf00117	K00919	DUF281:GHMP_kinases_N:GHMP_kinases_C	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	
B1A_00069	10615	11250					CY	1.02484152784063	Opf00574	K03687	GrpE	Protein GrpE	
B1A_00070	11262	12458					CY	1.17553637550532	Opf00871	K03686	DnaJ:DnaJ_C	Chaperone protein DnaJ	
B1A_00071	12558	13112					CY	1.04088067927085	Opf00090	K03088	Sigma70_r2:DUF4847:Sigma70_r4_2	RNA polymerase sigma-H factor	
B1A_00072	13401	13850					CY	0.976030981585945	Opf00615			hypothetical protein	
B1A_00073	13855	14307					PP	0.984949908947524	Opf03546		Metal_resist:Metal_resist	hypothetical protein	
B1A_00074	14361	20165					PP	1.0496300262208	Opf03493	K06894	CarboxypepD_reg:A2M_N:CarboxypepD_reg:Ribophorin_II:A2M:DUF4198:CarboxypepD_reg	hypothetical protein	
B1A_00075	21096	20182					CY	1.10924055879512	Opf00256	K00784	Lactamase_B:Lactamase_B_2	Ribonuclease Z	
B1A_00076	21158	21730					CY	0.962454627596475	Opf11519	K03088	Sigma70_r2:DUF5100:Sigma70_r4_2:HTH_36	hypothetical protein	
B1A_00077	23009	21864					PP	1.05888691451108	Opf02561		GxDLY:Lipase_GDSL_3	hypothetical protein	CE2,CE3
B1A_00078	23815	23030					CY	1.16094002103698	Opf10337		NAGPA	hypothetical protein	
B1A_00079	24422	24553					CY	1.05646498796807				hypothetical protein	
B1A_00080	24670	26922					PP	0.996776928713794	Opf00550	K02014	Plug:OMP_b-brl_3:OMP_b-brl_3:OMP_b-brl_3	Vitamin B12 transporter BtuB	GH80,GH80
B1A_00081	27021	27947					OM	1.05534765835165	Opf09244			hypothetical protein	
B1A_00082	28177	28548					CY	1.09160604429456	Opf01040	K00330	Oxidored_q4	NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic	
B1A_00083	28539	29153					CY	1.09356320096532	Opf00970	K00331	Oxidored_q6	NADH-quinone oxidoreductase subunit 6	
B1A_00084	29183	30814					CY	1.04598474395502	Opf00724	K13378	Complex1_30kDa:NiFeSe_Hases:Complex1_49kDa	NADH-quinone oxidoreductase subunit C/D	
B1A_00085	30895	31974					CY	1.040974279571	Opf00971	K00337	NADHdh	NADH-quinone oxidoreductase subunit H	
B1A_00086	32056	33558					CY	1.04402418861988	Opf01056	K02112	ATP-synt_ab_N:ATP-synt_ab:AAA_19:ATPase	ATP synthase subunit beta	
B1A_00087	33605	33841					CY	1.01686788384603	Opf00382	K02114	ATP-synt_DE_N	ATP synthase epsilon chain	
B1A_00088	33829	35103					PP	1.01107999405253	Opf00598	K02108	DUF202:ATP-synt_A	ATP synthase subunit a	
B1A_00089	35167	35421					CY	1.10696493648762	Opf01066	K02110	ATP-synt_C	ATP synthase subunit c	
B1A_00090	35432	35926					CY	1.14986685397624	Opf00742	K02109	ATP-synt_B:DUF724:HisKA_3	ATP synthase subunit b	GT83
B1A_00091	35933	36478					CY	1.16015128849238	Opf00561	K02113	OSCP	ATP synthase subunit delta	
B1A_00092	36483	38066					CY	1.07784997344203	Opf00908	K02111	ATP-synt_ab_N:ATP-synt_ab:ATP-synt_ab_C	ATP synthase subunit alpha	
B1A_00093	38093	38980					CY	1.0105790636612	Opf00586	K02115	ATP-synt	ATP synthase gamma chain	
B1A_00094	39038	39556					CY	1.05268277717876	Opf00242	K00338	Fer4_15:Fer4_22:Fer4_7	NADH-quinone oxidoreductase subunit I	
B1A_00095	39603	40130					CY	1.09699813268238	Opf00747	K00339	DUF3302:Oxidored_q3	NADH-quinone oxidoreductase subunit J	
B1A_00096	40137	40448					CY	1.0004397832657	Opf01073	K00340	Oxidored_q2	NADH-quinone oxidoreductase subunit K	
B1A_00097	40452	42416					CY	1.06126256720043	Opf00992	K00341	Proton_antipo_C:Proton_antipo_N:Proton_antipo_M:Proton_antipo_C:DUF4059:Proton_antipo_N	NADH-quinone oxidoreductase subunit L	
B1A_00098	42453	43967					CY	1.09371570074298	Opf00974	K00342	Proton_antipo_M:Proton_antipo_M	NAD(P)H-quinone oxidoreductase chain 4 1	
B1A_00099	44019	45461					CY	1.02339370228238	Opf00893	K00343	UL41A:Proton_antipo_M	NAD(P)H-quinone oxidoreductase subunit 2	
B1A_00100	45818	47782				GH13_25	CY	1.002105850811	Opf00790	K00705	GDE_N:GDE_C	hypothetical protein	GH133
B1A_00101	47786	49051					CY	1.05683063884087	Opf00897	K16149	Glyco_transf_5:Glyco_transf_4:Glycos_transf_1:Mastoparan_2	Glycogen synthase	GT5,GT3,GT4,GT4
B1A_00102	49088	50518				GH57	CY	1.0079168104689	Opf00490	K07405	Glyco_hydro_57:DASH_Spc34	hypothetical protein	GH57
B1A_00103	52017	50635					CY	0.970220477559137	Opf00332	K07058	Virul_fac_BrkB:Rrf2	hypothetical protein	
B1A_00104	53336	52509					CY	1.01107353803695	Opf08185		DUF4131:DUF308:LMBR1	hypothetical protein	
B1A_00105	54079	53468					CY	1.05030143622484	Opf00575	K00945	Cytidylate_kin2	Cytidylate kinase	
B1A_00106	54157	54516					CY	1.03110932811601	Opf00619		VPR:VPR	hypothetical protein	
B1A_00107	54603	55385					CY	1.03145312428442	Opf00206	K03768	Pro_isomerase	Putative peptidyl-prolyl cis-trans isomerase	
B1A_00108	55618	57468					CY	1.09438233417337	Opf00301		P4Ha_N:DUF349:DUF349:DUF349:DUF349:DUF349:DUF349:DUF1664	hypothetical protein	
B1A_00109	57609	58244					PP	1.07954694867505	Opf07912		Sel1:Sel1:Sel1:Sel1	Secretory immunoglobulin A-binding protein EsiB	
B1A_00110	58262	59488					CY	1.07971432877484	Opf01157	K01079	ACT_6:Put_Phosphatase:ACT:ACT_6:HAD	Phosphoserine phosphatase	
B1A_00111	59758	62121					PP	1.11350991649298	Opf00602	K07001	Patatin	hypothetical protein	
B1A_00112	728	820					CY	2.64221961984223				hypothetical protein	
B1A_00113	336	2057					CY	0.0131961040261706	Opf01432		TPR_8:TPR_8:ANAPC3:Orf78:IncA:bZIP_1:TraS	hypothetical protein	
B1A_00114	2229	2966					OM	0.0132821960072809	Opf02176			hypothetical protein	
B1A_00115	2963	3406					OM	0.835354389018399	Opf02997		Lipocalin_4	hypothetical protein	
B1A_00116	3490	4197					PP	0.895956239817995	Opf04609			hypothetical protein	
B1A_00117	40	411					CY	1.22175494499739	Opf00384	K03550	HHH_5:RuvA_C	Holliday junction ATP-dependent DNA helicase RuvA	
B1A_00118	411	7790					CY	1.03214431271657	Opf00741		SprA_N:DUF2460:DUF2460:DUF2460:SprA_N	hypothetical protein	
B1A_00119	7850	9511					CY	0.976601232395611	Opf00022	K07085	Asp-Al_Ex:TrkA_C:TrkA_C:Asp-Al_Ex	Aspartate/alanine antiporter	
B1A_00120	10111	9596					PP	0.995870630403348			SH3_4:SH3_4	hypothetical protein	
B1A_00121	12743	10119					CY	1.03084442682136	Opf00612	K01872	tRNA-synt_2c:SnoaL:tRNA_SAD:YabB:DHHA1	Alanine--tRNA ligase	
B1A_00122	13129	14097					CY	0.956027179414565	Opf01433	K21471	CC2-LZ:Biotin_lipoyl_2:CC2-LZ:Peptidase_M23	hypothetical protein	
B1A_00123	14102	14437					CY	1.03355018078117	Opf00381		MerR_1:HTH_23	hypothetical protein	
B1A_00124	14450	14569					CY	2.81481990597493	Opf11841			hypothetical protein	
B1A_00125	15744	14542					CY	1.16470381955139	Opf00022	K07085	Asp-Al_Ex:TrkA_C:TrkA_C:Asp-Al_Ex	Putative transport protein YidE	
B1A_00126	17477	15786					CY	0.917254875774797	Opf00022	K07085	Asp-Al_Ex:TrkA_C:TrkA_C:Asp-Al_Ex	Aspartate/alanine antiporter	
B1A_00127	17751	19940					PP	0.984470549496704	Opf00637	K01284	U3_assoc_6:Peptidase_M3	Oligopeptidase A	
B1A_00128	21207	19981					CY	0.95945591489192	Opf00165		Methyltransf_15:DUF5468:TehB	hypothetical protein	
B1A_00129	21435	22973					CY	1.03008088316294	Opf00400	K01448	Amidase_3:CdiI:SPOR	hypothetical protein	
B1A_00130	23053	23955					CY	0.930536641218189	Opf00621	K02067	MlaD:DUF948:Flagellin_C	hypothetical protein	
B1A_00131	24228	25688					CY	1.04027205752279	Opf00930	K02313	DnaA_N:Bac_DnaA:NACHT:Bac_DnaA_C:DUF3741	Chromosomal replication initiator protein DnaA	
B1A_00132	27929	25752					CY	1.00158155095739	Opf00660		Vps39_1:TPR_17:Vps39_1:PPR:Vps39_1:TPR_7:Vps39_1:TPR_2:TPR_16:TPR_2:TPR_2	hypothetical protein	GT41,GT41
B1A_00133	28210	28680					CY	0.957920517371234	Opf11245		DUF4293	hypothetical protein	
B1A_00134	30831	28855					CY	0.970153684844562	Opf03814	K02238	DUF4131:Competence	hypothetical protein	
B1A_00135	31550	30807					CY	0.961132971580387	Opf00404	K00014	Shikimate_dh_N	Shikimate dehydrogenase (NADP(+))	
B1A_00136	33622	31568					PP	0.981665102041032	Opf00052	K07386	Peptidase_M13_N:Peptidase_M13	Neutral endopeptidase	
B1A_00137	35613	33625					CY	0.923498828047831	Opf00289	K06158	ABC_tran:NTPase_1:ABC_tran_Xtn:ABC_tran:AAA_18:DUF87:ABC_tran_CTD	putative ABC transporter ATP-binding protein YheS	
B1A_00138	37334	35697					CY	0.940944749972391	Opf00892	K04077	Cpn60_TCP1	60 kDa chaperonin	
B1A_00139	37629	37357					CY	0.858689360652609	Opf00447	K04078	Cpn10	10 kDa chaperonin	
B1A_00140	39231	37795				GH13_28	PP	0.799036061362706	Opf01163	K01176	Alpha-amylase	Alpha-amylase	GH13_28
B1A_00141	39553	40158					PP	1.02774442136504	Opf01187	K21471	Glyco_transf_88:NLPC_P60	hypothetical protein	GT88
B1A_00142	40273	40344					CY	1.02706540353529				tRNA-Gln(ctg)	
B1A_00143	40414	40713					CY	1.08358725945233	Opf07778		Cyto_heme_lyase	hypothetical protein	
B1A_00144	1804	866					CY	1.08363052997355	Opf01920	K05521	ADP_ribosyl_GH	ADP-ribosylarginine hydrolase Tri1	
B1A_00145	2299	1847					CY	1.07111200636214	Opf00273	K11991	MafB19-deam	tRNA-specific adenosine deaminase	
B1A_00146	3195	2302					CY	1.13074894354351	Opf00401	K03527	LYTB	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
B1A_00147	3865	3176					CY	1.0688075051552	Opf00205	K00945	Cytidylate_kin	Cytidylate kinase	
B1A_00148	5973	3862				GH13_8	CY	1.05986232698928	Opf00581	K00700	CBM_48:CBM_48:Alpha-amylase:Alpha-amylase:Alpha-amylase_C	1,4-alpha-glucan branching enzyme GlgB	CBM48,CBM48,GH13_8,GH13_7
B1A_00149	7568	5976					CY	1.12436496484738	Opf00826		ABC_tran:AAA_21:DUF4435	hypothetical protein	
B1A_00150	8208	7600					CY	1.09542191475925	Opf00539	K00793	Lum_binding:Lum_binding	Riboflavin synthase	
B1A_00151	8869	8222					PP	1.17346494778753	Opf00800		DUF4923	hypothetical protein	
B1A_00152	9051	11648					OM	0.708420609242453	Opf04921		DUF4493:DUF4493:PCMD:PCMD	hypothetical protein	
B1A_00153	11645	12949				GH57	OM	1.01923937128447	Opf03725		DUF4493	hypothetical protein	GH57,CBM22,CBM22
B1A_00154	12959	15202					PP	1.00331508819296	Opf01407		DUF4493:fn3:fn3:PCMD	hypothetical protein	CBM16,CBM16,CBM16
B1A_00155	15219	16070					CY	0.998047451349477	Opf01219			hypothetical protein	
B1A_00156	16067	17005					PP	1.06981427430225	Opf01220		OMP_b-brl	hypothetical protein	
B1A_00157	17053	18642					OM	0.998728027803289	Opf01176		PCMD:PCMD	hypothetical protein	
B1A_00158	18700	19257					CY	1.04768319887227	Opf02461		GT87:PAP2	hypothetical protein	
B1A_00159	19268	19624					CY	0.86495822696866	Opf05056	K00901	DAGK_prokar	Undecaprenol kinase	
B1A_00160	317	505					CY	1.01472479320327	Opf01184		HTH_3	hypothetical protein	
B1A_00161	599	1354					CY	1.20483536276858	Opf01271		Sigma70_r4:HTH_40:GerE	hypothetical protein	
B1A_00162	1879	1346					CY	1.25353077844635	Opf01827		Cnd3	hypothetical protein	
B1A_00163	1946	4108					CY	0.0252959733256304	Opf02200		DUF3316:DUF3316:OMP_b-brl_3:OMP_b-brl_3	hypothetical protein	
B1A_00164	4068	4484					CY	0.0469293608242311	Opf02781		IncA	hypothetical protein	
B1A_00165	4559	5041					CY	0.0214677463844633	Opf01112		MVIN:bPH_5	hypothetical protein	
B1A_00166	1104	1					CY	1.83462831094662	Opf01475		DDE_Tnp_1	IS4 family transposase ISBf13	
B1A_00167	1420	1217					CY	0.8217684183802	Opf10926		DUF5325	hypothetical protein	
B1A_00168	2065	1424					CY	1.01204207046285	Opf00701		DNA_pol_A_exo1	Ribonuclease D	
B1A_00169	2742	2086					CY	0.980005962260794	Opf00322	K01935	AAA_26	ATP-dependent dethiobiotin synthetase BioD 1	
B1A_00170	4041	2761					CY	1.06713359595887	Opf00731	K00600	SHMT	Serine hydroxymethyltransferase	
B1A_00171	5363	4071					CY	1.09050527838548	Opf00872	K00351	Fer2:FAD_binding_6:FAD_binding_6:NAD_binding_1	Na(+)-translocating NADH-quinone reductase subunit F	
B1A_00172	5990	5376					CY	1.03886593924686	Opf01070	K00350	Rnf-Nqr	Na(+)-translocating NADH-quinone reductase subunit E	
B1A_00173	6630	6010					CY	0.998644504495177	Opf00984	K00349	Rnf-Nqr	Na(+)-translocating NADH-quinone reductase subunit D	
B1A_00174	7358	6627					CY	1.01111695519638	Opf00689	K00348	FixQ:FMN_bind	Na(+)-translocating NADH-quinone reductase subunit C	
B1A_00175	8557	7364					CY	1.00928428376926	Opf00957	K00347	NQR2_RnfD_RnfE	Na(+)-translocating NADH-quinone reductase subunit B	
B1A_00176	9903	8578					CY	1.03909788684903	Opf00333	K00346	NQRA:NQRA_SLBB	Na(+)-translocating NADH-quinone reductase subunit A	
B1A_00177	11694	10060					PP	1.06941798509789	Opf00782		TPR_2:TPR_19:TPR_16:TPR_17:TPR_19:TPR_2:TPR_19:TPR_2:TPR_14:TPR_2	Beta-barrel assembly-enhancing protease	GT41,GT41,GT41,GT41
B1A_00178	12919	11915					PP	1.01380679672691	Opf00633	K02040	PBP_like_2	hypothetical protein	
B1A_00179	13149	12934					CY	1.04083635500815	Opf00556		DUF4181	hypothetical protein	
B1A_00180	754	203					CY	1.05577355030629	Opf10035			hypothetical protein	
B1A_00181	924	1316					CY	1.0047484267203	Opf06171			hypothetical protein	
B1A_00182	1368	3353					CY	0.983185137693603	Opf00049			hypothetical protein	PL10_1
B1A_00183	3436	4113					CY	1.13446780413722	Opf00204	K01838	HAD_2	Validoxylamine A 7'-phosphate phosphatase	
B1A_00184	4142	5203					CY	1.06040936983854	Opf00359	K01735	DHQ_synthase	3-dehydroquinate synthase	
B1A_00185	5332	5541					CY	0.9275549214401	Opf08046			hypothetical protein	
B1A_00186	5558	10780					PP	0.997481152564698			CBM_4_9:Exo_endo_phos:RicinB_lectin_2:RicinB_lectin_2:CBM_4_9:DUF2141:CBM_4_9:Phage_T7_tail:CBM_4_9:CBM_4_9:CBM_4_9	hypothetical protein	CBM38,CBM61,CBM61,CBM61,CBM61,CBM16,CBM16
B1A_00187	11078	11992					CY	1.02597168938925	Opf00634		WYL	hypothetical protein	
B1A_00188	12030	13082					CY	1.03746673417146	Opf01133	K16881	NTP_transferase	UTP--glucose-1-phosphate uridylyltransferase	
B1A_00189	13152	14324					CY	1.1992645900999	Opf00406	K03979	GTP1_OBG:MMR_HSR1:MMR_HSR1_Xtn:DNA_pol_phi	GTPase Obg/CgtA	
B1A_00190	14326	15162					CY	1.12201447347137	Opf00282		Acyltransferase	hypothetical protein	
B1A_00191	15396	17174					CY	1.23296022196201	Opf04812		FlxA	hypothetical protein	
B1A_00192	17261	18526					CY	0.998189307262912	Opf04812		FlxA	hypothetical protein	
B1A_00193	18886	19266					PP	1.02762452403871			DUF3244	hypothetical protein	
B1A_00194	19334	20206					OM	0.308528487847086	Opf02545		AhpC-TSA:DUF1573	hypothetical protein	
B1A_00195	20233	20463					PP	0.0141275694133274	Opf08095		NVEALA	hypothetical protein	
B1A_00196	20542	21606					OM	0.0476135124682923	Opf10431		DUF5128	hypothetical protein	
B1A_00197	21939	22757					OM	0.67613269343591	Opf02545		AhpC-TSA:DUF1573	hypothetical protein	
B1A_00198	22840	23103					PP	0.960884226635232	Opf08095		NVEALA	hypothetical protein	
B1A_00199	23103	24119					PP	0.983456519193485			eIF-1a:eIF-1a:eIF-1a	hypothetical protein	
B1A_00200	24375	26297					CY	1.01440047337187	Opf02919		Transglut_core	hypothetical protein	
B1A_00201	26302	27366					OM	0.93428099843301	Opf10431		DUF5128	hypothetical protein	
B1A_00202	27974	29575					CY	1.09897193126642	Opf00502	K01937	CTP_synth_N:GATase	CTP synthase	
B1A_00203	29608	31485					CY	1.08155747520793	Opf00732	K00764	Glyco_trans_1_2:GATase_6:GATase_2:Glyco_trans_1_2	Amidophosphoribosyltransferase	
B1A_00204	31625	32341					CY	1.03717920786132	Opf02833		RE_EcoO109I	hypothetical protein	
B1A_00205	32338	33702					CY	1.01000692699963	Opf02267	K00558	DNA_methylase	hypothetical protein	
B1A_00206	33837	35939					CY	1.06000442703239	Opf00293	K03217	60KD_IMP:YidC_periplas:60KD_IMP:Trimer_CC	Membrane protein insertase YidC	
B1A_00207	35949	36770					CY	1.11083572855692	Opf03039	K02574	DUF4231:Fer4_5:DUF4231:Fer4_5:Fer4:Fer4_6	Ferredoxin-type protein NapH	
B1A_00208	36805	37599					CY	0.94052144774476	Opf00375	K00560	Thymidylat_synt	Thymidylate synthase 2	
B1A_00209	38602	37577					PP	1.04354158105956	Opf04685	K02529	LacI:Peripla_BP_3:Peripla_BP_3	putative HTH-type transcriptional repressor ExuR	
B1A_00210	39512	39243					CY	0.169023670318584	Opf01475			IS4 family transposase ISBf13	
B1A_00211	82	1991					CY	1.45304333691298				23S ribosomal RNA (partial)	
B1A_00212	231	347					CY	0.944909260965153	Opf04440			hypothetical protein	
B1A_00213	355	627					CY	1.01096306805266	Opf07812		HTH_24	hypothetical protein	
B1A_00214	1327	668					CY	1.00324262233129	Opf01002		HTH_AraC:HTH_18	hypothetical protein	
B1A_00215	2074	1484					CY	0.0164082951923037	Opf00383	K03827	Acetyltransf_3	Acetyltransferase	
B1A_00216	4068	2299					CY	0.997800631912731	Opf02073	K01201	Glyco_hydro_30:Glyco_hydro_30:Glyco_hydro_30C	hypothetical protein	GH30_7,GH30_2
B1A_00217	4090	5001					PP	1.09434169851056			7kD_coat:DUF4957:QRPTase_N:7kD_coat:DUF4957	hypothetical protein	GH28
B1A_00218	5100	6239					OM	1.07748691748646	Opf01505		DUF4861	hypothetical protein	
B1A_00219	7980	6334					CY	1.13031045561706	Opf00889	K01676	Fumerase:Fumerase_C	Fumarate hydratase class I, aerobic	
B1A_00220	8383	11775					CY	1.07537954294295	Opf01182		AP3D1:Astro_capsid_p:Amidase_3:RR_TM4-6:Amidase_3	hypothetical protein	
B1A_00221	11831	13297					CY	1.07274670869593	Opf00455		Glycos_transf_2	hypothetical protein	GT2
B1A_00222	13334	14290					CY	1.13966019412769	Opf01126		DUF4922	hypothetical protein	
B1A_00223	14310	15659					CY	1.08295207456709	Opf00081	K08218	MFS_1:MFS_1	Anhydromuropeptide permease	
B1A_00224	15656	18010					PP	1.03167647366844	Opf00543		POTRA:POTRA:Bac_surface_Ag	Outer membrane protein assembly factor BamA	
B1A_00225	18047	18700					CY	1.05640974976865	Opf00781	K01091	HAD_2	Phosphoglycolate phosphatase	
B1A_00226	18732	19511					CY	1.10803361074984	Opf00180	K01071	Acyl-ACP_TE	hypothetical protein	
B1A_00227	19601	21562					CY	1.05279207009263	Opf02016	K01534	E1-E2_ATPase:E1-E2_ATPase:Hydrolase:E1-E2_ATPase	Zinc-transporting ATPase	
B1A_00228	21591	22028					CY	0.931525158134313	Opf01291	K03711	FUR:zf-AN1:zf-AN1	hypothetical protein	
